"","ccode","donors","pop","pop.dens","gdp","gdp.lag","health","health.lag","pubhealth","pubtopriv","roads","cerebvas","assault","external","txp.pop","year","decom","corp","cbc","world","opt","consent.law","consent.practice","consistent","oeo","oeo2","proglib.trim","tradcon.trim","proglib.full","tradcon.full","statism","corporate","opt.na","oeo.yn","country"
"76",6,19.4,5108,1.51057223125832,19031,17993,1428,1390,5.7,75.6,86.335160532498,875,28,737,0.587314017227878,1995,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"77",6,19.5,5125,1.51559958598255,19842,19031,1517,1428,5.8,75.8,78.8292682926829,736,32,686,0.585365853658537,1996,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"78",6,16.3,5140,1.52003548720982,21691,19842,1580,1517,5.5,76.1,85.2140077821012,721,25,701,0.583657587548638,1997,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"79",6,19.8,5154,1.5241756616886,23267,21691,1607,1580,5.3,76.3,77.6096235933256,670,22,686,0.582072176949942,1998,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"80",6,16.5,5166,1.52772438267041,23702,23267,1641,1607,5.2,75.3,83.4301200154859,652,24,673,0.580720092915215,1999,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"81",6,19.9,5176,1.53068165015526,25397,23702,1698,1641,5,75.1,76.5069551777434,639,25,657,0.579598145285935,2000,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"82",6,17,5188,1.53423037113707,26376,25397,1841,1698,5.3,75.5,83.4618350038551,604,26,660,0.578257517347726,2001,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"83",6,17.1,5201,1.53807481886737,26616,26376,1943,1841,5.5,75.7,79.7923476254566,587,25,638,0.576812151509325,2002,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"84",6,NA,NA,NA,NA,26616,2045,1943,NA,75.7,NA,NA,NA,NA,NA,NA,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"85",7,NA,56709,10.2826835902085,18162,17113,1555,1555,6.6,76.6,197.764023347264,529,10,689,0.722989296231639,NA,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"86",7,19.1,56976,10.3310970081596,18989,18162,1668,1555,6.7,76.3,183.989750070205,520,10,668,0.719601235607975,1991,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"87",7,16.8,57240,10.3789664551224,19566,18989,1769,1668,6.9,76.6,172.955974842767,487,10,650,0.716282320055905,1992,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"88",7,17.1,57467,10.4201269265639,19763,19566,1866,1769,7.2,76.5,171.69854003167,473,11,645,0.713452938208015,1993,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"89",7,15.4,57659,10.4549410698096,20655,19763,1937,1866,7.1,76,156.419639605265,437,11,615,0.711077195234049,1994,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"90",7,15.1,57844,10.4884859474161,21283,20655,2025,1937,7.3,76.3,153.706520987484,431,10,602,0.708802987345273,1995,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"91",7,15.1,58026,10.5214868540345,21990,21283,2091,2025,7.2,76.1,147.192637783063,424,10,580,0.706579809051115,1996,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"92",7,15,58208,10.5544877606528,23113,21990,2163,2091,7.1,76.2,145.065970313359,409,9,571,0.704370533260033,1997,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"93",7,16.5,58398,10.588939256573,24044,23113,2231,2163,7.1,76,152.710709270865,405,7,581,0.702078838316381,1998,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"94",7,16.2,58623,10.629737080689,24856,24044,2306,2231,7.1,76,144.772529553247,394,7,572,0.699384200740324,1999,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"95",7,17,58896,10.6792384406165,25928,24856,2416,2306,7.1,75.8,137.174001629992,383,7,563,0.69614235262157,2000,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"96",7,17.8,59192,10.7329102447869,27394,25928,2588,2416,7.2,75.9,137.856467090147,372,7,554,0.692661170428436,2001,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"97",7,20,59486,10.7862194016319,28094,27394,2736,2588,7.4,76,128.685741182799,361,7,545,0.689237803853007,2002,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"98",7,NA,NA,NA,NA,28094,2884,2760,NA,76,NA,NA,NA,NA,NA,NA,27.5,0,0.92,"Corporatist","Out","Presumed","Informed","No",4,"None",-0.06,1.77,0.21,1.1,1,0,"Out","N","France"
"99",8,NA,63254,17.7167184830406,20359,19015,1729,1630,6.5,76.2,174.629272457078,846,10,477,0.695608182881715,NA,27.7,1,0.76,"Corporatist","In","Informed","Informed","Yes",3,"Eurotrans",-0.04,1.39,0.1,1.42,1,1,"In","Y","Germany"
"100",8,13.3,80014,22.411001876593,17511,20359,1845.5,1729,7.25,78.55,141.225285575024,880,11,480,0.549903766840803,1991,27.7,1,0.76,"Corporatist","In","Informed","Informed","Yes",3,"Eurotrans",-0.04,1.39,0.1,1.42,1,1,"In","Y","Germany"
"101",8,14.2,80625,22.5821359549618,19811,17511,1962,1845.5,8,80.9,131.857364341085,834,11,456,0.545736434108527,1992,27.7,1,0.76,"Corporatist","In","Informed","Informed","Yes",3,"Eurotrans",-0.04,1.39,0.1,1.42,1,1,"In","Y","Germany"
